Nom du plat,Description du plat,Ingrédients,Allergènes détectés
Poulet à la crème,"Arachides, Farine de blé, Poisson","Arachides, Farine de blé, Poisson","Gluten, Arachides, Poisson"
Quiche lorraine,"Moutarde, Lait, Sauce brune","Moutarde, Lait, Sauce brune","Moutarde, Gluten, Lait"
Spaghetti carbonara,"Chocolat noir, Huile végétale, Escargots, Sauce soja, Noix de cajou, Arachides","Chocolat noir, Huile végétale, Escargots, Sauce soja, Noix de cajou, Arachides","Fruits à coque, Arachides, Mollusques, Soja"
Pizza au fromage,"Tomates, Sauce brune, Chocolat noir, Crème fraîche","Tomates, Sauce brune, Chocolat noir, Crème fraîche","Gluten, Lait"
Rôti de porc,"Boeuf haché, Farine de blé, Fromage en grains, Pâtes alimentaires, Lait, Escargots","Boeuf haché, Farine de blé, Fromage en grains, Pâtes alimentaires, Lait, Escargots","Gluten, Lait, Mollusques"
Boeuf stroganoff,"Moutarde, Sauce soja, Noix de cajou, Crevettes","Moutarde, Sauce soja, Noix de cajou, Crevettes","Moutarde, Fruits à coque, Crustacés, Soja"
Spaghetti carbonara,"Boeuf haché, Fromage en grains, Sauce brune, Sauce soja, Pain","Boeuf haché, Fromage en grains, Sauce brune, Sauce soja, Pain","Gluten, Lait, Soja"
Macarons,"Crème fraîche, Sauce brune, Beurre, Sauce soja, Poivrons, Vanille","Crème fraîche, Sauce brune, Beurre, Sauce soja, Poivrons, Vanille","Gluten, Lait, Soja"
Pizza au fromage,"Moutarde, Beurre, Poulet, Farine de blé, Sésame, Crème fraîche","Moutarde, Beurre, Poulet, Farine de blé, Sésame, Crème fraîche","Moutarde, Gluten, Graines de sésame, Lait"
Moules-frites,"Poulet, Poivrons, Pommes de terre, Sauce brune, Beurre","Poulet, Poivrons, Pommes de terre, Sauce brune, Beurre","Gluten, Lait"
Rôti de porc,"Poulet, Farine de blé, Carottes, Vanille, Pain, Poisson","Poulet, Farine de blé, Carottes, Vanille, Pain, Poisson","Gluten, Poisson"
Hamburger steak,"Vanille, Tomates, Noix de cajou","Vanille, Tomates, Noix de cajou",Fruits à coque
Salade niçoise,"Noisettes, Poisson, Boeuf haché","Noisettes, Poisson, Boeuf haché","Fruits à coque, Poisson"
Fondue au fromage,"Sauce brune, Oignons, Pommes de terre, Tomates, Sauce soja","Sauce brune, Oignons, Pommes de terre, Tomates, Sauce soja","Gluten, Soja"
Pain doré,"Noix de cajou, Carottes, Boeuf haché, Poisson, Sauce soja, Arachides","Noix de cajou, Carottes, Boeuf haché, Poisson, Sauce soja, Arachides","Fruits à coque, Arachides, Soja, Poisson"
Éclair au café,"Poisson, Chocolat noir, Moutarde","Poisson, Chocolat noir, Moutarde","Moutarde, Poisson"
Pizza au fromage,"Moutarde, Pain, Oignons","Moutarde, Pain, Oignons","Moutarde, Gluten"
Chili con carne,"Noisettes, Arachides, Oeufs, Céleri","Noisettes, Arachides, Oeufs, Céleri","Fruits à coque, Oeufs, Arachides, Céleri"
Pâté chinois,"Beurre, Sauce soja, Chocolat noir, Sésame","Beurre, Sauce soja, Chocolat noir, Sésame","Graines de sésame, Lait, Soja"
Raclette,"Champignons, Sauce brune, Céleri","Champignons, Sauce brune, Céleri","Gluten, Céleri"
Gâteau au chocolat,"Beurre, Huile végétale, Poivrons","Beurre, Huile végétale, Poivrons",Lait
Chili con carne,"Beurre, Oignons, Noix de cajou, Crevettes","Beurre, Oignons, Noix de cajou, Crevettes","Fruits à coque, Lait, Crustacés"
Poulet à la crème,"Pain, Farine de blé, Poulet, Huile végétale","Pain, Farine de blé, Poulet, Huile végétale",Gluten
Poulet à la crème,"Noix de cajou, Beurre, Noisettes","Noix de cajou, Beurre, Noisettes","Fruits à coque, Lait"
Macarons,"Carottes, Boeuf haché, Noisettes","Carottes, Boeuf haché, Noisettes",Fruits à coque
Ratatouille,"Poivrons, Pain, Boeuf haché, Céleri, Pâtes alimentaires, Champignons","Poivrons, Pain, Boeuf haché, Céleri, Pâtes alimentaires, Champignons","Gluten, Céleri"
Saucisses et purée,"Pâtes alimentaires, Vanille, Arachides","Pâtes alimentaires, Vanille, Arachides","Gluten, Arachides"
Pâté chinois,"Lait, Sauce brune, Poisson, Carottes, Fromage en grains","Lait, Sauce brune, Poisson, Carottes, Fromage en grains","Gluten, Lait, Poisson"
Ratatouille,"Champignons, Huile végétale, Farine de blé, Boeuf haché, Poivrons, Crevettes","Champignons, Huile végétale, Farine de blé, Boeuf haché, Poivrons, Crevettes","Gluten, Crustacés"
Gâteau au chocolat,"Pain, Boeuf haché, Lait, Arachides","Pain, Boeuf haché, Lait, Arachides","Gluten, Arachides, Lait"
Lasagne bolognaise,"Farine de blé, Arachides, Fromage en grains, Poisson, Vanille","Farine de blé, Arachides, Fromage en grains, Poisson, Vanille","Gluten, Arachides, Lait, Poisson"
Macarons,"Crème fraîche, Arachides, Escargots, Chocolat noir, Sauce brune","Crème fraîche, Arachides, Escargots, Chocolat noir, Sauce brune","Gluten, Arachides, Lait, Mollusques"
Coquilles Saint-Jacques,"Oeufs, Pommes de terre, Céleri, Fromage en grains, Escargots","Oeufs, Pommes de terre, Céleri, Fromage en grains, Escargots","Oeufs, Lait, Mollusques, Céleri"
Soupe aux pois,"Huile végétale, Beurre, Poisson, Farine de blé","Huile végétale, Beurre, Poisson, Farine de blé","Gluten, Lait, Poisson"
Tourtière,"Chocolat noir, Lait, Pain, Noisettes, Huile végétale, Crevettes","Chocolat noir, Lait, Pain, Noisettes, Huile végétale, Crevettes","Fruits à coque, Gluten, Lait, Crustacés"
Pain doré,"Tomates, Oeufs, Crevettes, Lait","Tomates, Oeufs, Crevettes, Lait","Oeufs, Lait, Crustacés"
Éclair au café,"Noix de cajou, Escargots, Beurre, Arachides","Noix de cajou, Escargots, Beurre, Arachides","Fruits à coque, Arachides, Lait, Mollusques"
Poutine classique,"Noix de cajou, Sauce brune, Lait","Noix de cajou, Sauce brune, Lait","Fruits à coque, Gluten, Lait"
Coquilles Saint-Jacques,"Chocolat noir, Moutarde, Fromage en grains, Vanille","Chocolat noir, Moutarde, Fromage en grains, Vanille","Moutarde, Lait"
Omelette au fromage,"Chocolat noir, Noix de cajou, Escargots","Chocolat noir, Noix de cajou, Escargots","Fruits à coque, Mollusques"
Boeuf bourguignon,"Sésame, Fromage en grains, Poivrons","Sésame, Fromage en grains, Poivrons","Graines de sésame, Lait"
Pain doré,"Escargots, Poulet, Lait","Escargots, Poulet, Lait","Lait, Mollusques"
Hamburger steak,"Arachides, Fromage en grains, Pâtes alimentaires","Arachides, Fromage en grains, Pâtes alimentaires","Gluten, Arachides, Lait"
Fèves au lard,"Poisson, Poulet, Céleri, Sauce brune, Tomates","Poisson, Poulet, Céleri, Sauce brune, Tomates","Gluten, Céleri, Poisson"
Soupe aux pois,"Poisson, Farine de blé, Boeuf haché, Huile végétale, Sésame, Poivrons","Poisson, Farine de blé, Boeuf haché, Huile végétale, Sésame, Poivrons","Gluten, Graines de sésame, Poisson"
Quiche lorraine,"Huile végétale, Poulet, Carottes","Huile végétale, Poulet, Carottes",Aucun
Saucisses et purée,"Moutarde, Boeuf haché, Sauce brune, Sauce soja, Huile végétale","Moutarde, Boeuf haché, Sauce brune, Sauce soja, Huile végétale","Moutarde, Gluten, Soja"
Rôti de porc,"Chocolat noir, Escargots, Crème fraîche, Sésame","Chocolat noir, Escargots, Crème fraîche, Sésame","Graines de sésame, Lait, Mollusques"
Poulet à la crème,"Chocolat noir, Poisson, Pain","Chocolat noir, Poisson, Pain","Gluten, Poisson"
Boeuf stroganoff,"Crème fraîche, Fromage en grains, Oeufs, Pommes de terre","Crème fraîche, Fromage en grains, Oeufs, Pommes de terre","Oeufs, Lait"
Boeuf stroganoff,"Pommes de terre, Boeuf haché, Sésame, Poivrons","Pommes de terre, Boeuf haché, Sésame, Poivrons",Graines de sésame
Crème brûlée,"Noisettes, Tomates, Noix de cajou, Chocolat noir, Oeufs, Pain","Noisettes, Tomates, Noix de cajou, Chocolat noir, Oeufs, Pain","Fruits à coque, Oeufs, Gluten"
Éclair au café,"Sésame, Tomates, Beurre","Sésame, Tomates, Beurre","Graines de sésame, Lait"
Boeuf bourguignon,"Sauce brune, Sauce soja, Crème fraîche, Tomates","Sauce brune, Sauce soja, Crème fraîche, Tomates","Gluten, Lait, Soja"
Salade César,"Crevettes, Noix de cajou, Poisson, Escargots, Crème fraîche, Carottes","Crevettes, Noix de cajou, Poisson, Escargots, Crème fraîche, Carottes","Fruits à coque, Lait, Poisson, Mollusques, Crustacés"
Chili con carne,"Oignons, Céleri, Pain","Oignons, Céleri, Pain","Gluten, Céleri"
Raclette,"Champignons, Boeuf haché, Noix de cajou, Beurre, Huile végétale, Poulet","Champignons, Boeuf haché, Noix de cajou, Beurre, Huile végétale, Poulet","Fruits à coque, Lait"
Cassoulet,"Lait, Huile végétale, Sauce soja, Poisson, Tomates","Lait, Huile végétale, Sauce soja, Poisson, Tomates","Poisson, Lait, Soja"
Éclair au café,"Pâtes alimentaires, Fromage en grains, Beurre","Pâtes alimentaires, Fromage en grains, Beurre","Gluten, Lait"
Éclair au café,"Sésame, Vanille, Noisettes, Fromage en grains, Sauce soja, Escargots","Sésame, Vanille, Noisettes, Fromage en grains, Sauce soja, Escargots","Fruits à coque, Graines de sésame, Soja, Lait, Mollusques"
Magret de canard,"Boeuf haché, Pain, Oignons","Boeuf haché, Pain, Oignons",Gluten
Crêpes sucrées,"Carottes, Moutarde, Chocolat noir, Crème fraîche","Carottes, Moutarde, Chocolat noir, Crème fraîche","Moutarde, Lait"
Pot-au-feu,"Poulet, Vanille, Poivrons, Sésame, Pommes de terre, Crevettes","Poulet, Vanille, Poivrons, Sésame, Pommes de terre, Crevettes","Graines de sésame, Crustacés"
Profiteroles,"Crevettes, Sauce soja, Arachides, Poulet, Noisettes","Crevettes, Sauce soja, Arachides, Poulet, Noisettes","Fruits à coque, Arachides, Soja, Crustacés"
Omelette au fromage,"Céleri, Crevettes, Beurre, Huile végétale","Céleri, Crevettes, Beurre, Huile végétale","Lait, Céleri, Crustacés"
Cassoulet,"Oignons, Sauce brune, Lait, Noix de cajou, Sauce soja, Pâtes alimentaires","Oignons, Sauce brune, Lait, Noix de cajou, Sauce soja, Pâtes alimentaires","Fruits à coque, Gluten, Lait, Soja"
Magret de canard,"Tomates, Pain, Escargots","Tomates, Pain, Escargots","Gluten, Mollusques"
Cassoulet,"Beurre, Poivrons, Fromage en grains","Beurre, Poivrons, Fromage en grains",Lait
Saucisses et purée,"Noisettes, Carottes, Poisson","Noisettes, Carottes, Poisson","Fruits à coque, Poisson"
Salade César,"Oeufs, Pommes de terre, Huile végétale, Escargots, Noisettes","Oeufs, Pommes de terre, Huile végétale, Escargots, Noisettes","Fruits à coque, Oeufs, Mollusques"
Pâté chinois,"Poulet, Farine de blé, Carottes, Champignons, Pain","Poulet, Farine de blé, Carottes, Champignons, Pain",Gluten
Pot-au-feu,"Sauce brune, Tomates, Huile végétale, Moutarde, Poivrons","Sauce brune, Tomates, Huile végétale, Moutarde, Poivrons","Moutarde, Gluten"
Chili con carne,"Pâtes alimentaires, Boeuf haché, Farine de blé, Pommes de terre","Pâtes alimentaires, Boeuf haché, Farine de blé, Pommes de terre",Gluten
Fèves au lard,"Pain, Noix de cajou, Tomates, Farine de blé, Sauce brune, Fromage en grains","Pain, Noix de cajou, Tomates, Farine de blé, Sauce brune, Fromage en grains","Fruits à coque, Gluten, Lait"
Pâté chinois,"Fromage en grains, Poulet, Arachides, Champignons","Fromage en grains, Poulet, Arachides, Champignons","Arachides, Lait"
Raclette,"Oignons, Céleri, Vanille","Oignons, Céleri, Vanille",Céleri
Fondue au fromage,"Sésame, Vanille, Noix de cajou, Sauce soja, Chocolat noir","Sésame, Vanille, Noix de cajou, Sauce soja, Chocolat noir","Fruits à coque, Graines de sésame, Soja"
Boeuf bourguignon,"Lait, Céleri, Poisson, Pâtes alimentaires","Lait, Céleri, Poisson, Pâtes alimentaires","Gluten, Lait, Céleri, Poisson"
Quiche lorraine,"Champignons, Escargots, Pâtes alimentaires","Champignons, Escargots, Pâtes alimentaires","Gluten, Mollusques"
Crêpes sucrées,"Pâtes alimentaires, Beurre, Sauce brune, Tomates, Carottes, Oeufs","Pâtes alimentaires, Beurre, Sauce brune, Tomates, Carottes, Oeufs","Gluten, Lait, Oeufs"
Fondue au fromage,"Carottes, Huile végétale, Sauce soja","Carottes, Huile végétale, Sauce soja",Soja
Gâteau au chocolat,"Tomates, Arachides, Poulet","Tomates, Arachides, Poulet",Arachides
Fondue au fromage,"Beurre, Céleri, Moutarde, Poisson, Sauce brune","Beurre, Céleri, Moutarde, Poisson, Sauce brune","Céleri, Lait, Poisson, Moutarde, Gluten"
Lasagne bolognaise,"Fromage en grains, Farine de blé, Tomates","Fromage en grains, Farine de blé, Tomates","Gluten, Lait"
Pain doré,"Arachides, Sauce brune, Fromage en grains, Crème fraîche, Boeuf haché","Arachides, Sauce brune, Fromage en grains, Crème fraîche, Boeuf haché","Gluten, Arachides, Lait"
Pot-au-feu,"Crevettes, Pommes de terre, Moutarde, Oignons, Huile végétale, Fromage en grains","Crevettes, Pommes de terre, Moutarde, Oignons, Huile végétale, Fromage en grains","Moutarde, Lait, Crustacés"
Escargots à l'ail,"Carottes, Poisson, Pain, Oeufs, Lait, Vanille","Carottes, Poisson, Pain, Oeufs, Lait, Vanille","Gluten, Lait, Oeufs, Poisson"
Profiteroles,"Sésame, Noisettes, Vanille, Poisson, Chocolat noir, Oignons","Sésame, Noisettes, Vanille, Poisson, Chocolat noir, Oignons","Fruits à coque, Graines de sésame, Poisson"
Boeuf bourguignon,"Sésame, Lait, Crème fraîche, Oignons, Noix de cajou, Farine de blé","Sésame, Lait, Crème fraîche, Oignons, Noix de cajou, Farine de blé","Fruits à coque, Gluten, Graines de sésame, Lait"
Fèves au lard,"Noix de cajou, Poulet, Fromage en grains, Huile végétale, Crevettes, Oeufs","Noix de cajou, Poulet, Fromage en grains, Huile végétale, Crevettes, Oeufs","Fruits à coque, Oeufs, Lait, Crustacés"
Coquilles Saint-Jacques,"Pâtes alimentaires, Moutarde, Carottes, Vanille, Noix de cajou","Pâtes alimentaires, Moutarde, Carottes, Vanille, Noix de cajou","Moutarde, Gluten, Fruits à coque"
Filet de saumon,"Boeuf haché, Pâtes alimentaires, Pommes de terre, Champignons, Sauce brune, Vanille","Boeuf haché, Pâtes alimentaires, Pommes de terre, Champignons, Sauce brune, Vanille",Gluten
Magret de canard,"Poulet, Champignons, Farine de blé, Fromage en grains, Chocolat noir","Poulet, Champignons, Farine de blé, Fromage en grains, Chocolat noir","Gluten, Lait"
Crêpes sucrées,"Noix de cajou, Farine de blé, Sésame, Poivrons, Oeufs","Noix de cajou, Farine de blé, Sésame, Poivrons, Oeufs","Fruits à coque, Gluten, Graines de sésame, Oeufs"
Gâteau au chocolat,"Arachides, Pâtes alimentaires, Sauce soja","Arachides, Pâtes alimentaires, Sauce soja","Gluten, Arachides, Soja"
Pot-au-feu,"Pâtes alimentaires, Chocolat noir, Crème fraîche","Pâtes alimentaires, Chocolat noir, Crème fraîche","Gluten, Lait"
Ratatouille,"Noisettes, Poivrons, Farine de blé, Tomates, Pommes de terre","Noisettes, Poivrons, Farine de blé, Tomates, Pommes de terre","Fruits à coque, Gluten"
Magret de canard,"Escargots, Céleri, Chocolat noir","Escargots, Céleri, Chocolat noir","Mollusques, Céleri"
Tourtière,"Noisettes, Lait, Huile végétale","Noisettes, Lait, Huile végétale","Fruits à coque, Lait"
Escargots à l'ail,"Tomates, Crème fraîche, Pâtes alimentaires, Lait","Tomates, Crème fraîche, Pâtes alimentaires, Lait","Gluten, Lait"
Pain doré,"Huile végétale, Crevettes, Oeufs","Huile végétale, Crevettes, Oeufs","Oeufs, Crustacés"
Tarte au sucre,"Oeufs, Farine de blé, Poivrons","Oeufs, Farine de blé, Poivrons","Oeufs, Gluten"
Coquilles Saint-Jacques,"Huile végétale, Sauce soja, Fromage en grains, Oeufs, Crème fraîche","Huile végétale, Sauce soja, Fromage en grains, Oeufs, Crème fraîche","Oeufs, Lait, Soja"
Rôti de porc,"Chocolat noir, Arachides, Noisettes","Chocolat noir, Arachides, Noisettes","Fruits à coque, Arachides"
Éclair au café,"Arachides, Sauce soja, Beurre, Pâtes alimentaires, Noix de cajou","Arachides, Sauce soja, Beurre, Pâtes alimentaires, Noix de cajou","Fruits à coque, Soja, Arachides, Lait, Gluten"
Poulet rôti,"Farine de blé, Champignons, Lait, Poivrons, Céleri, Oeufs","Farine de blé, Champignons, Lait, Poivrons, Céleri, Oeufs","Gluten, Lait, Oeufs, Céleri"
Omelette au fromage,"Poulet, Crème fraîche, Moutarde, Crevettes","Poulet, Crème fraîche, Moutarde, Crevettes","Moutarde, Lait, Crustacés"
Profiteroles,"Crème fraîche, Poisson, Crevettes, Vanille, Tomates, Poivrons","Crème fraîche, Poisson, Crevettes, Vanille, Tomates, Poivrons","Lait, Crustacés, Poisson"
Pot-au-feu,"Vanille, Pâtes alimentaires, Boeuf haché, Poisson, Noix de cajou, Crevettes","Vanille, Pâtes alimentaires, Boeuf haché, Poisson, Noix de cajou, Crevettes","Fruits à coque, Gluten, Crustacés, Poisson"
Fondue au fromage,"Vanille, Oignons, Champignons, Chocolat noir, Sauce soja","Vanille, Oignons, Champignons, Chocolat noir, Sauce soja",Soja
Fèves au lard,"Sauce brune, Vanille, Pain, Crème fraîche, Beurre","Sauce brune, Vanille, Pain, Crème fraîche, Beurre","Gluten, Lait"
Saucisses et purée,"Noisettes, Crème fraîche, Arachides","Noisettes, Crème fraîche, Arachides","Fruits à coque, Arachides, Lait"
Lasagne bolognaise,"Escargots, Sauce soja, Lait","Escargots, Sauce soja, Lait","Lait, Mollusques, Soja"
Lasagne bolognaise,"Arachides, Champignons, Sauce brune, Pain","Arachides, Champignons, Sauce brune, Pain","Gluten, Arachides"
Crème brûlée,"Sauce brune, Pain, Oignons, Poivrons, Fromage en grains, Tomates","Sauce brune, Pain, Oignons, Poivrons, Fromage en grains, Tomates","Gluten, Lait"
Boeuf stroganoff,"Oeufs, Farine de blé, Beurre, Poivrons","Oeufs, Farine de blé, Beurre, Poivrons","Oeufs, Gluten, Lait"
Poulet rôti,"Moutarde, Arachides, Boeuf haché, Lait, Sésame","Moutarde, Arachides, Boeuf haché, Lait, Sésame","Moutarde, Arachides, Lait, Graines de sésame"
Ratatouille,"Oeufs, Crème fraîche, Escargots, Poulet","Oeufs, Crème fraîche, Escargots, Poulet","Oeufs, Lait, Mollusques"
Poulet rôti,"Tomates, Poisson, Beurre","Tomates, Poisson, Beurre","Lait, Poisson"
Macarons,"Huile végétale, Pâtes alimentaires, Sauce brune, Fromage en grains","Huile végétale, Pâtes alimentaires, Sauce brune, Fromage en grains","Gluten, Lait"
Rôti de porc,"Noix de cajou, Sauce soja, Champignons, Poisson","Noix de cajou, Sauce soja, Champignons, Poisson","Fruits à coque, Poisson, Soja"
Quiche lorraine,"Sauce brune, Fromage en grains, Noix de cajou, Crème fraîche","Sauce brune, Fromage en grains, Noix de cajou, Crème fraîche","Fruits à coque, Gluten, Lait"
Poutine classique,"Moutarde, Céleri, Escargots, Chocolat noir, Pommes de terre","Moutarde, Céleri, Escargots, Chocolat noir, Pommes de terre","Moutarde, Mollusques, Céleri"
Pain doré,"Beurre, Champignons, Céleri","Beurre, Champignons, Céleri","Lait, Céleri"
Poulet à la crème,"Sésame, Poisson, Pommes de terre","Sésame, Poisson, Pommes de terre","Graines de sésame, Poisson"
Pot-au-feu,"Farine de blé, Tomates, Sésame, Carottes","Farine de blé, Tomates, Sésame, Carottes","Gluten, Graines de sésame"
Rôti de porc,"Champignons, Fromage en grains, Sauce brune, Oeufs, Crème fraîche","Champignons, Fromage en grains, Sauce brune, Oeufs, Crème fraîche","Gluten, Lait, Oeufs"
Hamburger steak,"Lait, Arachides, Tomates, Poulet, Céleri, Champignons","Lait, Arachides, Tomates, Poulet, Céleri, Champignons","Arachides, Lait, Céleri"
Crêpes sucrées,"Champignons, Poisson, Lait, Escargots, Crème fraîche, Moutarde","Champignons, Poisson, Lait, Escargots, Crème fraîche, Moutarde","Moutarde, Lait, Mollusques, Poisson"
Pizza au fromage,"Céleri, Farine de blé, Vanille, Oignons, Escargots","Céleri, Farine de blé, Vanille, Oignons, Escargots","Gluten, Mollusques, Céleri"
Filet de saumon,"Vanille, Poisson, Sauce brune, Escargots","Vanille, Poisson, Sauce brune, Escargots","Gluten, Mollusques, Poisson"
Tarte au sucre,"Vanille, Sésame, Pâtes alimentaires, Noix de cajou, Moutarde","Vanille, Sésame, Pâtes alimentaires, Noix de cajou, Moutarde","Fruits à coque, Gluten, Graines de sésame, Moutarde"
Poulet rôti,"Fromage en grains, Farine de blé, Huile végétale, Sauce soja, Boeuf haché","Fromage en grains, Farine de blé, Huile végétale, Sauce soja, Boeuf haché","Gluten, Lait, Soja"
Saucisses et purée,"Boeuf haché, Crevettes, Beurre, Fromage en grains, Poisson, Sésame","Boeuf haché, Crevettes, Beurre, Fromage en grains, Poisson, Sésame","Poisson, Graines de sésame, Lait, Crustacés"
Pot-au-feu,"Poulet, Sauce soja, Noisettes, Carottes, Moutarde","Poulet, Sauce soja, Noisettes, Carottes, Moutarde","Fruits à coque, Moutarde, Soja"
Chili con carne,"Carottes, Boeuf haché, Tomates, Noisettes, Poivrons, Crème fraîche","Carottes, Boeuf haché, Tomates, Noisettes, Poivrons, Crème fraîche","Fruits à coque, Lait"
Croque-monsieur,"Vanille, Sésame, Arachides","Vanille, Sésame, Arachides","Graines de sésame, Arachides"
Ratatouille,"Farine de blé, Escargots, Fromage en grains","Farine de blé, Escargots, Fromage en grains","Gluten, Lait, Mollusques"
Salade niçoise,"Huile végétale, Tomates, Poisson, Crevettes, Beurre","Huile végétale, Tomates, Poisson, Crevettes, Beurre","Lait, Crustacés, Poisson"
Boeuf stroganoff,"Poisson, Sauce brune, Vanille","Poisson, Sauce brune, Vanille","Gluten, Poisson"
Pizza au fromage,"Huile végétale, Noisettes, Boeuf haché, Tomates","Huile végétale, Noisettes, Boeuf haché, Tomates",Fruits à coque
Soupe à l'oignon,"Escargots, Fromage en grains, Noisettes","Escargots, Fromage en grains, Noisettes","Fruits à coque, Lait, Mollusques"
Crêpes sucrées,"Carottes, Huile végétale, Oignons","Carottes, Huile végétale, Oignons",Aucun
Tarte au sucre,"Chocolat noir, Lait, Noix de cajou, Vanille","Chocolat noir, Lait, Noix de cajou, Vanille","Fruits à coque, Lait"
Tourtière,"Beurre, Sésame, Oeufs, Lait, Noisettes, Boeuf haché","Beurre, Sésame, Oeufs, Lait, Noisettes, Boeuf haché","Fruits à coque, Oeufs, Graines de sésame, Lait"
Boeuf stroganoff,"Tomates, Noix de cajou, Carottes, Poivrons","Tomates, Noix de cajou, Carottes, Poivrons",Fruits à coque
Gâteau au chocolat,"Noix de cajou, Carottes, Sésame","Noix de cajou, Carottes, Sésame","Fruits à coque, Graines de sésame"
Boeuf bourguignon,"Fromage en grains, Boeuf haché, Carottes","Fromage en grains, Boeuf haché, Carottes",Lait
Poulet rôti,"Crevettes, Sauce soja, Céleri, Carottes, Sauce brune","Crevettes, Sauce soja, Céleri, Carottes, Sauce brune","Gluten, Soja, Céleri, Crustacés"
Cassoulet,"Tomates, Beurre, Oeufs","Tomates, Beurre, Oeufs","Oeufs, Lait"
Salade niçoise,"Beurre, Huile végétale, Noisettes","Beurre, Huile végétale, Noisettes","Fruits à coque, Lait"
Moules-frites,"Carottes, Chocolat noir, Moutarde, Sauce soja, Tomates","Carottes, Chocolat noir, Moutarde, Sauce soja, Tomates","Moutarde, Soja"
Éclair au café,"Sauce soja, Pommes de terre, Pain, Fromage en grains, Boeuf haché, Poisson","Sauce soja, Pommes de terre, Pain, Fromage en grains, Boeuf haché, Poisson","Gluten, Lait, Poisson, Soja"
Tarte au sucre,"Poisson, Arachides, Fromage en grains","Poisson, Arachides, Fromage en grains","Arachides, Lait, Poisson"
Raclette,"Beurre, Escargots, Oeufs, Pommes de terre, Fromage en grains, Lait","Beurre, Escargots, Oeufs, Pommes de terre, Fromage en grains, Lait","Oeufs, Lait, Mollusques"
Macarons,"Escargots, Farine de blé, Beurre, Poisson","Escargots, Farine de blé, Beurre, Poisson","Gluten, Lait, Mollusques, Poisson"
Fondue au fromage,"Noix de cajou, Pommes de terre, Beurre, Champignons, Tomates, Poisson","Noix de cajou, Pommes de terre, Beurre, Champignons, Tomates, Poisson","Fruits à coque, Lait, Poisson"
Poutine classique,"Champignons, Poulet, Poisson","Champignons, Poulet, Poisson",Poisson
Pizza au fromage,"Huile végétale, Poulet, Farine de blé, Lait, Sésame","Huile végétale, Poulet, Farine de blé, Lait, Sésame","Gluten, Graines de sésame, Lait"
Filet de saumon,"Poivrons, Crème fraîche, Céleri","Poivrons, Crème fraîche, Céleri","Lait, Céleri"
Pain doré,"Sauce brune, Oeufs, Oignons, Arachides, Sauce soja, Pain","Sauce brune, Oeufs, Oignons, Arachides, Sauce soja, Pain","Gluten, Arachides, Oeufs, Soja"
Quiche lorraine,"Huile végétale, Arachides, Lait, Crème fraîche, Pommes de terre, Pâtes alimentaires","Huile végétale, Arachides, Lait, Crème fraîche, Pommes de terre, Pâtes alimentaires","Gluten, Arachides, Lait"
Escargots à l'ail,"Fromage en grains, Farine de blé, Boeuf haché, Sésame, Beurre, Pommes de terre","Fromage en grains, Farine de blé, Boeuf haché, Sésame, Beurre, Pommes de terre","Gluten, Graines de sésame, Lait"
Rôti de porc,"Céleri, Oignons, Pâtes alimentaires, Poivrons","Céleri, Oignons, Pâtes alimentaires, Poivrons","Gluten, Céleri"
Tarte au sucre,"Moutarde, Poulet, Sauce brune, Oignons, Pâtes alimentaires","Moutarde, Poulet, Sauce brune, Oignons, Pâtes alimentaires","Moutarde, Gluten"
Pâté chinois,"Carottes, Pâtes alimentaires, Huile végétale, Escargots, Boeuf haché","Carottes, Pâtes alimentaires, Huile végétale, Escargots, Boeuf haché","Gluten, Mollusques"
Hamburger steak,"Tomates, Pain, Pommes de terre, Crème fraîche","Tomates, Pain, Pommes de terre, Crème fraîche","Gluten, Lait"
Tarte au sucre,"Crème fraîche, Pâtes alimentaires, Huile végétale, Pommes de terre, Poulet","Crème fraîche, Pâtes alimentaires, Huile végétale, Pommes de terre, Poulet","Gluten, Lait"
Cassoulet,"Vanille, Beurre, Noix de cajou, Fromage en grains, Boeuf haché, Oignons","Vanille, Beurre, Noix de cajou, Fromage en grains, Boeuf haché, Oignons","Fruits à coque, Lait"
Ratatouille,"Lait, Poivrons, Champignons, Pommes de terre, Sésame, Poisson","Lait, Poivrons, Champignons, Pommes de terre, Sésame, Poisson","Graines de sésame, Lait, Poisson"
Saucisses et purée,"Carottes, Arachides, Poisson, Pain, Fromage en grains, Sésame","Carottes, Arachides, Poisson, Pain, Fromage en grains, Sésame","Graines de sésame, Arachides, Lait, Poisson, Gluten"
Poulet rôti,"Tomates, Sésame, Pommes de terre, Noisettes, Poivrons, Lait","Tomates, Sésame, Pommes de terre, Noisettes, Poivrons, Lait","Fruits à coque, Graines de sésame, Lait"
Macarons,"Sauce brune, Sauce soja, Poulet","Sauce brune, Sauce soja, Poulet","Gluten, Soja"
Coquilles Saint-Jacques,"Escargots, Oeufs, Sauce soja","Escargots, Oeufs, Sauce soja","Oeufs, Mollusques, Soja"
Salade niçoise,"Boeuf haché, Champignons, Lait, Sauce soja","Boeuf haché, Champignons, Lait, Sauce soja","Lait, Soja"
Poulet à la crème,"Chocolat noir, Tomates, Poivrons, Arachides","Chocolat noir, Tomates, Poivrons, Arachides",Arachides
